SiPM,Con 1 Pin,OR,Con 2 Pin,Samtec Pin,J2 Pin,Ch Number,x,y
A-1,,,45,72,12,0,1,8
A-2,,,46,70,14,1,1,7
A-3,,,55,52,22,2,1,6
A-4,,,56,50,20,3,1,5
A-5,,,65,32,23,4,1,4
A-6,,,66,30,21,5,1,3
A-7,,,75,12,15,6,1,2
A-8,,,76,10,13,7,1,1
B-1,,,44,74,10,8,2,8
B-2,,,47,68,16,9,2,7
B-3,,,54,54,24,10,2,6
B-4,,,57,48,18,11,2,5
B-5,,,64,34,25,12,2,4
B-6,,,67,28,19,13,2,3
B-7,,,74,14,17,14,2,2
B-8,,,77,8,11,15,2,1
C-1,,,37,73,26,16,3,8
C-2,,,34,67,32,17,3,7
C-3,,,27,53,36,18,3,6
C-4,,,24,47,42,19,3,5
C-5,,,17,33,43,20,3,4
C-6,,,14,27,37,21,3,3
C-7,,,7,13,35,22,3,2
C-8,,,4,7,27,23,3,1
D-1,,,36,71,28,24,4,8
D-2,,,35,69,30,25,4,7
D-3,,,26,51,38,26,4,6
D-4,,,25,49,40,27,4,5
D-5,,,16,31,41,28,4,4
D-6,,,15,29,39,29,4,3
D-7,,,6,11,31,30,4,2
D-8,,,5,9,29,31,4,1
E-1,45,,,72,58,32,5,8
E-2,46,,,70,54,33,5,7
E-3,55,,,52,48,34,5,6
E-4,56,,,50,46,35,5,5
E-5,65,,,32,47,36,5,4
E-6,66,,,30,49,37,5,3
E-7,75,,,12,57,38,5,2
E-8,76,,,10,59,39,5,1
F-1,44,,,74,60,40,6,8
F-2,47,,,68,52,41,6,7
F-3,54,,,54,50,42,6,6
F-4,57,,,48,44,43,6,5
F-5,64,,,34,45,44,6,4
F-6,67,,,28,51,45,6,3
F-7,74,,,14,53,46,6,2
F-8,77,,,8,61,47,6,1
G-1,37,,,73,76,48,7,8
G-2,34,,,67,70,49,7,7
G-3,27,,,53,68,50,7,6
G-4,24,,,47,62,51,7,5
G-5,17,,,33,63,52,7,4
G-6,14,,,27,69,53,7,3
G-7,7,,,13,71,54,7,2
G-8,4,,,7,77,55,7,1
H-1,36,,,71,74,56,8,8
H-2,35,,,69,72,57,8,7
H-3,26,,,51,66,58,8,6
H-4,25,,,49,64,59,8,5
H-5,16,,,31,65,60,8,4
H-6,15,,,29,67,61,8,3
H-7,6,,,11,73,62,8,2
H-8,5,,,9,75,63,8,1
