SiPM,Con 1 Pin,OR,Con 2 Pin,Samtec Pin,J2 Pin,Ch Number,x,y
A-1,,,45,72,12,18,1,8
A-2,,,46,70,14,17,1,7
A-3,,,55,52,22,23,1,6
A-4,,,56,50,20,20,1,5
A-5,,,65,32,23,14,1,4
A-6,,,66,30,21,5,1,3
A-7,,,75,12,15,10,1,2
A-8,,,76,10,13,0,1,1
B-1,,,44,74,10,16,2,8
B-2,,,47,68,16,19,2,7
B-3,,,54,54,24,22,2,6
B-4,,,57,48,18,21,2,5
B-5,,,64,34,25,7,2,4
B-6,,,67,28,19,12,2,3
B-7,,,74,14,17,3,2,2
B-8,,,77,8,11,1,2,1
C-1,,,37,73,26,25,3,8
C-2,,,34,67,32,28,3,7
C-3,,,27,53,36,29,3,6
C-4,,,24,47,42,32,3,5
C-5,,,17,33,43,27,3,4
C-6,,,14,27,37,13,3,3
C-7,,,7,13,35,4,3,2
C-8,,,4,7,27,8,3,1
D-1,,,36,71,28,24,4,8
D-2,,,35,69,30,26,4,7
D-3,,,26,51,38,30,4,6
D-4,,,25,49,40,31,4,5
D-5,,,16,31,41,11,4,4
D-6,,,15,29,39,2,4,3
D-7,,,6,11,31,6,4,2
D-8,,,5,9,29,15,4,1
E-1,45,,,72,58,41,5,8
E-2,46,,,70,54,39,5,7
E-3,55,,,52,48,36,5,6
E-4,56,,,50,46,33,5,5
E-5,65,,,32,47,9,5,4
E-6,66,,,30,49,62,5,3
E-7,75,,,12,57,59,5,2
E-8,76,,,10,59,50,5,1
F-1,44,,,74,60,40,6,8
F-2,47,,,68,52,37,6,7
F-3,54,,,54,50,35,6,6
F-4,57,,,48,44,34,6,5
F-5,64,,,34,45,38,6,4
F-6,67,,,28,51,58,6,3
F-7,74,,,14,53,61,6,2
F-8,77,,,8,61,57,6,1
G-1,37,,,73,76,49,7,8
G-2,34,,,67,70,45,7,7
G-3,27,,,53,68,46,7,6
G-4,24,,,47,62,43,7,5
G-5,17,,,33,63,52,7,4
G-6,14,,,27,69,53,7,3
G-7,7,,,13,71,56,7,2
G-8,4,,,7,77,63,7,1
H-1,36,,,71,74,48,8,8
H-2,35,,,69,72,47,8,7
H-3,26,,,51,66,44,8,6
H-4,25,,,49,64,42,8,5
H-5,16,,,31,65,51,8,4
H-6,15,,,29,67,54,8,3
H-7,6,,,11,73,55,8,2
H-8,5,,,9,75,60,8,1
