4	3
119144481586	1.681866	854
119144483485	1.400928	614
119144483463	1.249336	610
119144482799	0.488476	851
119144481319	2.422295	346
119144483064	2.021206	97
119144484047	1.029812	73
4	5
142131313706	1.454014	834
142131314096	1.079258	843
142131314759	0.651989	600
142131315766	-0.505703	602
142131314263	1.175102	347
142131314195	0.745384	322
142131316724	0.593758	95
142131315740	0.290432	94
142131319014	-0.574158	352
2	4
142535561625	0.998344	614
142535562809	0.204361	610
142535562135	2.022331	114
142535560393	1.445580	368
142535565582	-0.167603	383
142535576862	-0.792496	104
2	4
143417591139	1.834457	591
143417589527	1.165718	841
143417590477	2.047493	326
143417591888	2.039398	88
143417595229	0.420830	90
143417608869	-0.459251	322
2	4
151650610799	1.786171	585
151650610422	1.365936	853
151650610321	2.541569	320
151650610829	1.371609	110
151650613618	0.781261	107
151650614679	-0.886711	336
3	3
153787241186	2.301807	841
153787241713	1.205956	592
153787249455	-0.289810	894
153787241969	1.827812	329
153787240970	1.305481	76
153787243940	0.015396	71
4	4
191456129269	1.378323	622
191456129071	1.166985	866
191456129811	1.123398	621
191456129663	0.099453	870
191456129347	4.233509	102
191456129867	1.186150	363
191456129233	1.002373	372
191456132109	0.599762	98
3	4
192538322990	1.365307	839
192538321882	0.873264	589
192538323131	0.588116	844
192538324330	1.520206	320
192538324329	1.254372	330
192538325584	0.982681	96
192538325511	-0.218601	93
4	6
194444567526	3.040405	637
194444567189	1.368057	871
194444570184	0.664780	868
194444568728	0.527218	634
194444566522	1.350750	369
194444569044	1.219582	370
194444568249	1.213463	360
194444567468	0.871571	365
194444568973	0.506813	97
194444570378	0.492516	73
2	4
207271453432	2.066235	619
207271453430	1.015320	861
207271454772	1.765678	107
207271455702	1.355434	323
207271454038	1.019054	321
207271455380	0.383244	110
5	4
208208790656	1.143448	630
208208787387	0.536507	855
208208791683	0.373383	627
208208789432	0.219955	849
208208687592	-0.934334	875
208208791064	2.066490	340
208208790887	1.753757	110
208208793481	0.824818	334
208208793360	0.003929	109
4	9
209107516776	1.192066	638
209107516295	0.691078	585
209107516200	0.664497	850
209107535107	-0.565636	619
209107512145	2.590794	373
209107515341	1.818390	342
209107517048	1.593121	121
209107517237	1.191616	125
209107518661	0.685017	339
209107532786	0.473408	344
209107530079	0.328869	328
209107515594	-0.046566	376
209107522214	-0.054646	381
3	4
214020104185	1.510082	868
214020104264	0.914425	865
214020103994	0.837605	604
214020103060	1.879646	326
214020104526	1.080849	90
214020104977	0.296066	88
214019970379	-0.996342	112
4	4
215161916352	1.666420	864
215161917293	1.402950	859
215161917250	1.131645	604
215161919053	-0.142529	605
215161918762	1.850719	84
215161918536	0.949306	324
215161917299	0.827335	328
215161921553	0.045174	78
4	4
225899564412	1.343285	871
225899563919	1.130299	578
225899566174	0.400330	582
225899568346	0.154877	868
225899564684	2.384827	331
225899565681	0.842899	66
225899567054	0.768169	322
225899567947	-0.333370	75
4	4
246416009735	1.198784	842
246416010019	0.973003	579
246416010936	0.438297	837
246416009906	0.255043	588
246416007821	1.587734	348
246416009531	1.582012	64
246416008670	1.217083	80
246416011785	-0.167458	349
4	2
250459953733	3.051659	615
250459954544	1.862888	887
250459956357	0.230301	612
250459971343	0.053783	891
250459956412	0.316257	383
250459980186	-0.651241	123
9	4
256295771451	2.077736	880
256295773606	1.863819	622
256295770785	1.851955	620
256295771831	1.731308	895
256295773422	1.459293	843
256295772688	1.042877	863
256295774875	0.790909	621
256295772181	0.416607	618
256295668340	-0.760231	591
256295771357	3.461376	107
256295771961	2.160172	373
256295772978	1.103935	116
256295772941	0.965351	376
4	3
263722950513	2.865486	861
263722950742	1.562180	604
263722953196	-0.051624	605
263722964641	-1.066956	860
263722952970	1.784222	321
263722954650	1.305805	82
263722954720	0.428398	323
3	4
275333318826	1.637741	591
275333318489	1.348587	865
275333319160	1.277584	841
275333317710	1.228149	97
275333317580	1.194260	355
