Time (s),vth_e,overvoltage (V),T (C),Number,Rate (MHz)
10,7,6,47,31326087,3.133
10,8,6,47,31205315,3.121
10,9,6,47,30525579,3.053
10,10,6,47,29333561,2.933
10,11,6,47,27713683,2.771
10,12,6,47,25175577,2.518
10,13,6,47,21022090,2.102
10,14,6,47,15965125,1.597
10,15,6,47,11074606,1.107
10,16,6,47,7334428,0.733
10,17,6,47,4679299,0.468
10,18,6,47,2904227,0.29
10,19,6,47,1733236,0.173
10,20,6,47,993510,0.099
10,21,6,47,541366,0.054
10,22,6,47,280740,0.028
10,23,6,47,133685,0.013
10,24,6,47,58349,0.006
