Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
1, 6, 2461, 7.871624, 2, 3.051018, -1e+06, -1e+06, 2, 2.650264, 2, 2.170342, 58.30693, -1e+06, 71.82219, 16.12864, 1, 1
2, 9, 5308, 4.910076, 2, 0.88419, 3, 1.346328, 2, 0.146286, 2, 2.533272, 43.09295, 41.92525, 40.78697, 47.55532, 0, 1
3, 6, 16469, 3.710517, 2, 1.229835, 2, 1.277977, 2, 1.202705, -1e+06, -1e+06, 63.28675, 92.61639, 72.31964, -1e+06, 1, 1
4, 6, 19342, 7.048645, 2, 2.460228, 2, 1.588242, 1, 1.834457, 1, 1.165718, 40.29178, 48.69373, 51.87112, 58.81442, 1, 1
5, 6, 4358, 6.959835, 2, 2.15287, 2, 1.654858, 1, 1.786171, 1, 1.365936, 83.21588, 12.65947, 59.60005, 18.85035, 1, 1
6, 6, 8485, 6.366642, 2, 1.320877, 1, 1.827812, 1, 1.205956, 2, 2.011997, 20.36526, 58.87856, 13.62155, 59.40977, 1, 1
7, 8, 3038, 10.78995, 2, 4.833271, 2, 2.188523, 2, 2.501721, 2, 1.266438, 72.57489, 83.99052, 81.42148, 70.60952, 1, 1
8, 7, 3702, 6.365345, 2, 0.76408, 2, 2.774578, 1, 0.873264, 2, 1.953423, 30.48946, 9.664215, 35.27648, 20.20844, 1, 1
9, 10, 3856, 11.25516, 2, 0.999329, 4, 4.655366, 2, 3.567623, 2, 2.032837, 59.65755, 72.17791, 74.74733, 54.61296, 0, 1
10, 6, 2272, 7.604965, 2, 2.148922, 2, 2.374488, 1, 2.066235, 1, 1.01532, 82.87924, 24.65683, 84.38158, 29.09517, 1, 1
11, 8, 6094, 6.922287, 2, 1.757686, 2, 2.891308, 2, 1.516831, 2, 0.756462, 82.71168, 5.531797, 99.91746, 2.811169, 1, 1
12, 13, 22962, 10.56201, 2, 2.784737, 7, 5.795266, 3, 1.317508, 1, 0.664497, 75.78847, 49.9842, 50.26717, -0.7096559, 0, 0
13, 6, 1917, 6.518673, 2, 1.376915, 1, 1.879646, 1, 0.837605, 2, 2.424507, 40.07372, 50.18051, 28.11508, 56.80597, 1, 1
14, 8, 5201, 7.73102, 2, 1.895893, 2, 1.776641, 2, 0.989116, 2, 3.06937, 5.511382, 36.56787, 28.87083, 32.13054, 1, 1
15, 8, 4427, 6.691316, 2, 0.509529, 2, 3.152996, 2, 1.530629, 2, 1.498162, 46.57651, 46.47779, 48.7858, 55.03738, 1, 1
16, 8, 3964, 7.084498, 2, 2.799095, 2, 1.420276, 2, 1.228046, 2, 1.637081, 12.39654, 27.96512, 22.78198, 8.369924, 1, 1
17, 6, 26453, 4.863647, 1, -0.651241, 1, 0.316257, 2, 3.28196, 2, 1.916671, 62.42118, 91.30113, 54.97829, 64.35852, 0, 1
18, 12, 4090, 18.92534, 2, 4.565311, 2, 3.125523, 4, 4.92329, 4, 6.311214, 84.59908, 88.4843, 88.45687, 73.35808, 0, 1
19, 7, 14128, 6.827511, 1, 1.305805, 2, 2.21262, 2, 1.510556, 2, 1.79853, 0.07633427, 23.5294, 27.48779, 29.28606, 1, 0
20, 7, 10036, 7.101688, 2, 0.95655, 2, 1.881226, 1, 1.637741, 2, 2.626171, 58.11148, 69.14186, 50.91787, 58.7724, 1, 1
21, 8, 17429, 18.09169, -1e+06, -1e+06, 2, 8.319554, 4, 7.417164, 2, 2.354969, -1e+06, 87.34256, 78.50378, 82.85008, 0, 1
22, 8, 3731, 8.063469, 2, 1.710861, 2, 3.513435, 2, 1.480648, 2, 1.358525, 21.20647, 77.00817, 16.2593, 88.82365, 1, 1
23, 6, 3174, 6.260582, 1, 2.685303, 1, 1.685513, 2, 0.445793, 2, 1.443973, 31.04682, 44.27708, 30.20244, 44.7859, 1, 1
24, 9, 16685, 10.68755, 2, 3.300636, 3, 3.101425, 2, 1.751121, 2, 2.534363, 94.52685, 78.14427, 95.18967, 45.94378, 0, 1
25, 4, 18276, -1.603462, 2, -0.211807, -1e+06, -1e+06, 2, -1.391655, -1e+06, -1e+06, 39.30069, -1e+06, 86.5836, -1e+06, 1, 1
26, 6, 2199, 7.351493, 2, 2.19265, 1, 0.976818, 1, 1.449394, 2, 2.732631, 61.7437, 29.42167, 53.94177, 19.29079, 1, 1
27, 8, 8617, 6.392047, 2, 1.813744, 2, 1.516204, 2, 1.539329, 2, 1.52277, 18.85812, 34.10939, 6.206009, 29.5134, 1, 1
28, 7, 28398, 7.943435, 1, 2.489529, 3, 1.028594, 1, 2.66729, 2, 1.758022, 103.9971, 45.64635, 100.9509, 7.808447, 0, 0
29, 8, 20037, 7.138785, 2, 2.384979, 2, 2.181419, 2, 1.057476, 2, 1.514911, 60.88476, 49.29432, 50.18735, 56.72402, 1, 1
